student_id,student_name,subject,topic,quiz_score,assignment_score,attempts,mastery_level,attendance,final_exam_score
29,Maryam Mohammed,Physics,Thermodynamics,65.72,100.0,4,High,73.08,76.19
30,Blessing Ahmed,English,Vocabulary,64.58,50.47,4,High,86.43,65.24
31,Ifeanyi Bashir,Physics,Thermodynamics,74.49,54.36,3,Medium,89.03,54.5
32,Ngozi Musa,Chemistry,Inorganic,72.04,100.0,4,Low,65.09,64.54
33,Zainab Abdullahi,Chemistry,Organic,66.2,60.45,2,Medium,59.49,55.26
34,Chinedu Abdullahi,Mathematics,Geometry,52.25,75.1,1,High,65.81,65.33
35,Nkiru Olatunji,Mathematics,Geometry,55.6,63.17,3,Medium,83.14,51.45
36,Emeka Bashir,Physics,Thermodynamics,67.73,87.61,4,Low,58.93,62.36
37,Esther Adesina,Physics,Mechanics,68.12,79.73,1,Medium,62.63,53.65
38,Funke Adesina,Biology,Ecology,71.26,72.45,1,Medium,77.5,62.97
39,Joseph Adebayo,Mathematics,Probability,56.84,71.48,3,High,77.93,59.11
40,Sola Lawal,Physics,Mechanics,87.39,75.11,4,Low,63.09,67.5
41,Blessing Ahmed,Biology,Genetics,53.3,79.81,1,Medium,86.59,55.32
42,Nkiru Bashir,Mathematics,Algebra,76.56,74.19,1,High,83.22,76.69
43,Ifeanyi Lawal,Physics,Optics,62.06,56.69,4,Medium,66.1,52.46
44,Nkiru Ibrahim,Mathematics,Geometry,64.07,73.12,4,Low,77.77,62.96
45,Abdul Ahmed,Biology,Ecology,65.16,89.8,4,Medium,72.35,81.94
46,Nnamdi Bashir,Biology,Genetics,72.51,55.14,2,Low,64.29,53.35
47,Amarachi Balogun,English,Vocabulary,62.32,78.71,1,Medium,79.73,60.4
48,Amina Balogun,English,Comprehension,54.84,45.28,2,Low,70.53,47.9
49,Musa Abdullahi,Physics,Mechanics,67.57,49.31,1,Medium,76.73,55.0
50,Zainab Ibrahim,Mathematics,Geometry,54.39,70.31,1,Medium,75.58,49.53
51,Halima Sule,English,Vocabulary,69.29,76.41,3,High,85.83,74.35
52,Emeka Sule,Chemistry,Organic,48.47,53.93,3,Medium,80.15,54.81
53,Ngozi Musa,Chemistry,Inorganic,71.18,100.0,3,High,80.71,81.64
54,Ifeanyi Abdullahi,Mathematics,Probability,76.45,77.77,1,Low,71.85,62.34
55,Emeka Kabiru,Chemistry,Organic,55.73,64.45,3,High,70.15,59.49
56,Chukwuka Lawal,Chemistry,Inorganic,92.78,39.99,2,Medium,81.86,52.05
57,Maryam Onyekachi,English,Vocabulary,59.34,84.33,1,Medium,75.64,55.56
58,Maryam Onyekachi,Mathematics,Geometry,56.42,78.19,3,Low,67.7,56.12
59,Sola Bashir,Physics,Optics,65.55,58.23,3,Medium,96.44,64.27
60,Ifeoma Olatunji,Physics,Thermodynamics,40.7,70.8,3,Medium,68.38,57.47
61,Yusuf Balogun,Mathematics,Probability,55.49,66.28,3,Low,80.05,57.37
62,Samuel Mohammed,Chemistry,Organic,50.6,62.98,4,Medium,70.25,52.34
63,Halima Bashir,Mathematics,Algebra,86.19,74.07,1,High,62.39,71.53
64,Ifeoma Mohammed,English,Grammar,90.47,83.49,3,Medium,59.81,68.24
65,Ibrahim Adesina,Physics,Mechanics,80.2,57.38,3,Medium,79.44,66.56
66,Ifeanyi Balogun,Chemistry,Organic,53.88,67.11,2,Medium,42.59,45.56
67,Funke Bashir,Biology,Anatomy,61.97,49.28,2,High,91.32,50.92
68,Zainab Okoye,Physics,Optics,59.72,69.96,1,Low,89.41,46.64
69,Ifeanyi Olatunji,Biology,Anatomy,78.96,68.15,2,Low,65.18,59.22
70,Chiamaka Adebayo,Biology,Genetics,67.39,59.0,4,Low,75.7,53.35
71,Chibuzo Yakubu,Chemistry,Inorganic,66.36,77.93,2,Low,90.86,53.73
72,Ngozi Sule,Biology,Ecology,90.6,38.72,3,High,73.48,65.26
73,Amarachi Ahmed,Chemistry,Physical,68.37,58.66,4,Medium,72.92,57.58
74,Chibuzo Bashir,Chemistry,Organic,57.93,80.74,1,High,78.57,59.42
75,Yusuf Okoye,English,Comprehension,75.8,72.61,1,Low,83.13,61.64
76,Halima Danladi,Chemistry,Inorganic,55.05,59.6,1,Medium,82.47,56.32
77,Daniel Sule,Chemistry,Organic,64.75,69.76,4,Low,87.78,56.56
78,Ifeanyi Bashir,Physics,Optics,71.57,64.97,4,Low,72.82,63.38
79,Ngozi Olatunji,English,Comprehension,74.9,80.2,1,Medium,88.05,66.34
80,Ngozi Kabiru,Chemistry,Physical,73.18,63.35,4,Medium,78.24,63.04
81,Ifeoma Onyekachi,English,Grammar,66.16,76.93,2,Medium,66.82,71.41
82,Amarachi Ibrahim,Physics,Thermodynamics,52.93,49.79,3,Medium,86.58,57.26
83,Chibuzo Okafor,Chemistry,Inorganic,72.49,77.43,2,Medium,74.88,59.72
84,Daniel Ibrahim,Chemistry,Inorganic,65.91,57.84,4,Medium,84.75,60.1
85,Emeka Kabiru,Biology,Anatomy,55.09,63.18,2,Medium,79.13,52.53
86,Ngozi Kabiru,English,Comprehension,55.13,71.66,1,High,77.45,56.62
87,Emeka Lawal,Chemistry,Organic,59.35,71.48,2,Low,60.52,44.29
88,Amina Lawal,Biology,Anatomy,56.38,64.8,1,Medium,78.11,61.95
89,Chukwuka Musa,English,Grammar,75.29,65.6,4,Medium,74.81,59.48
90,Zainab Mohammed,Mathematics,Algebra,64.78,63.67,4,Low,78.23,52.13
91,Chiamaka Kabiru,Biology,Genetics,71.23,90.99,2,High,73.91,72.76
92,Sola Yakubu,Physics,Optics,73.28,61.98,3,High,77.24,64.73
93,Chukwuka Yakubu,English,Vocabulary,66.17,56.4,4,High,75.25,64.55
94,Maryam Yakubu,Physics,Thermodynamics,82.41,82.39,4,Medium,96.53,71.08
95,Emeka Lawal,Chemistry,Physical,75.47,70.75,4,Medium,96.9,65.36
96,Yusuf Yakubu,Mathematics,Calculus,54.92,59.01,2,Low,53.76,42.61
97,Samuel Bashir,Mathematics,Geometry,55.89,70.26,2,Low,78.42,61.99
98,Ifeoma Mohammed,Physics,Mechanics,76.41,59.35,4,Medium,66.02,64.09
99,Maryam Yakubu,Biology,Genetics,49.16,95.47,2,High,86.79,65.06
100,Abdul Abdul,Mathematics,Probability,44.44,88.31,4,Low,73.85,63.09
101,Funke Onyekachi,Biology,Ecology,45.87,59.01,2,Medium,75.05,50.96
102,Yusuf Adesina,Biology,Genetics,59.6,77.34,4,Medium,64.32,61.02
103,Ngozi Ibrahim,Physics,Optics,66.44,75.72,2,High,82.12,60.34
104,Maryam Okafor,Biology,Anatomy,46.59,87.17,1,Low,78.32,49.63
105,Halima Mohammed,Biology,Genetics,83.61,69.74,1,Low,86.79,60.86
106,Samuel Sule,Biology,Ecology,89.73,94.33,3,Medium,72.51,80.45
107,Abdul Ahmed,Biology,Ecology,72.74,88.53,1,Medium,65.35,68.11
108,Nnamdi Bashir,Mathematics,Calculus,77.7,41.62,2,Medium,63.17,43.08
109,Emeka Musa,Mathematics,Algebra,61.77,78.76,2,Low,90.02,59.03
110,Chinedu Ibrahim,Physics,Mechanics,84.54,47.3,2,Medium,57.97,55.97
111,Sola Abdul,Physics,Optics,69.61,67.51,3,Medium,54.33,58.34
112,Blessing Ibrahim,English,Vocabulary,49.35,78.05,1,Medium,78.67,51.82
113,Blessing Onyekachi,Mathematics,Algebra,58.83,52.11,3,Medium,74.37,58.71
114,Ifeanyi Ibrahim,Biology,Anatomy,53.17,75.56,2,Low,69.7,48.11
115,Ifeoma Musa,Physics,Mechanics,63.72,52.47,3,High,69.46,51.79
116,Peace Adebayo,English,Grammar,88.58,68.53,3,Medium,68.0,67.9
117,Ngozi Danladi,Mathematics,Calculus,63.65,64.69,1,High,81.14,63.96
118,Chibuzo Sadiq,Mathematics,Probability,58.63,59.36,3,Medium,72.25,44.22
119,Chibuzo Yakubu,Physics,Optics,46.82,88.5,2,Medium,91.45,61.07
120,Amarachi Musa,Chemistry,Physical,71.92,72.67,4,Medium,100.0,74.97
121,Chibuzo Abdul,Chemistry,Inorganic,63.46,53.67,2,High,58.94,56.0
122,Tunde Ahmed,Biology,Genetics,55.92,46.67,4,Medium,68.53,46.65
123,Ngozi Ibrahim,Chemistry,Organic,85.25,81.22,4,High,74.92,82.58
124,Blessing Sadiq,Physics,Optics,65.93,55.08,3,Medium,90.23,62.03
125,Chukwuka Ibrahim,Chemistry,Physical,52.55,65.14,1,Medium,66.24,44.83
126,Emeka Abdullahi,Physics,Thermodynamics,76.11,96.64,4,Medium,61.01,74.79
127,Emeka Lawal,Biology,Anatomy,57.19,60.69,4,Medium,69.08,52.41
128,Chinedu Abdullahi,Chemistry,Organic,65.58,55.54,4,Medium,77.7,58.74
129,Ngozi Sule,English,Comprehension,62.13,54.39,4,Medium,69.23,60.12
130,Funke Adesina,English,Comprehension,71.01,53.34,3,Medium,75.99,61.96
131,Yusuf Onyekachi,Chemistry,Organic,44.97,76.15,1,Medium,68.37,55.94
132,Samuel Adebayo,English,Vocabulary,55.84,40.93,2,Low,58.72,41.08
133,Nnamdi Sadiq,Chemistry,Physical,68.12,54.44,3,High,81.39,53.17
134,Chibuzo Sule,Chemistry,Organic,64.21,49.83,3,Low,68.48,49.22
135,Chinedu Bashir,Physics,Optics,54.68,62.23,1,High,85.06,54.45
136,Maryam Onyekachi,Physics,Thermodynamics,75.03,51.05,4,Low,80.3,63.08
137,Chinedu Abdul,Chemistry,Inorganic,35.34,56.05,4,Medium,80.77,49.52
138,Blessing Balogun,Chemistry,Inorganic,69.45,58.94,1,High,75.87,58.62
139,Abdul Sadiq,Mathematics,Algebra,79.01,71.82,2,Low,78.38,57.95
140,Daniel Onyekachi,Mathematics,Geometry,59.15,61.51,1,Medium,78.94,52.43
141,Halima Ibrahim,English,Vocabulary,68.48,99.13,2,Medium,83.71,69.21
142,Abdul Yakubu,Biology,Ecology,79.41,61.88,4,Medium,54.62,56.54
143,Peace Balogun,English,Vocabulary,42.55,62.73,1,High,75.18,60.74
144,Emeka Musa,Physics,Optics,68.92,64.71,1,Low,83.29,43.03
145,Blessing Bashir,Mathematics,Geometry,67.83,79.56,1,Medium,60.21,65.47
146,Ifeoma Ibrahim,Biology,Ecology,69.06,61.77,1,Low,81.33,64.3
147,Ifeoma Onyekachi,Biology,Genetics,67.18,71.72,2,High,70.41,58.98
148,Chiamaka Musa,English,Vocabulary,74.96,55.16,2,Medium,75.72,56.01
149,Maryam Lawal,Physics,Optics,70.75,73.0,2,Low,85.38,56.38
150,Blessing Onyekachi,English,Vocabulary,61.76,53.32,3,Medium,70.56,56.49
151,David Onyekachi,Biology,Ecology,74.08,54.17,4,Medium,83.7,68.81
152,Peace Balogun,Biology,Anatomy,69.96,96.15,3,Medium,67.26,63.2
153,Chinedu Abdullahi,Physics,Thermodynamics,43.66,90.44,1,High,81.54,61.68
154,Ngozi Ahmed,English,Grammar,68.36,51.12,2,Medium,99.46,59.41
155,Joseph Yakubu,Chemistry,Organic,66.31,78.89,4,Medium,79.81,67.65
156,Esther Abdullahi,Biology,Ecology,55.51,75.07,4,Medium,93.82,70.97
157,Ngozi Adebayo,Physics,Optics,84.12,60.33,4,Medium,65.1,63.47
158,Ngozi Sule,Biology,Anatomy,65.67,84.41,1,Medium,58.08,67.88
159,Samuel Ahmed,Chemistry,Organic,63.1,61.6,4,High,64.88,52.87
160,Chibuzo Okafor,English,Comprehension,74.88,69.1,4,Low,62.1,52.03
161,Musa Danladi,English,Comprehension,60.97,93.04,4,Medium,72.4,60.55
162,Emeka Ahmed,English,Grammar,62.05,63.91,3,Medium,48.03,54.22
163,Ifeoma Sadiq,Mathematics,Algebra,62.23,78.44,2,Medium,93.49,69.86
164,Ngozi Bashir,Mathematics,Probability,61.77,51.4,1,Low,100.0,50.75
165,Chibuzo Adebayo,Biology,Genetics,65.17,67.64,2,Medium,76.98,58.67
166,Ifeoma Onyekachi,English,Vocabulary,58.12,59.8,3,Medium,74.67,53.36
167,Esther Sadiq,Physics,Optics,56.45,69.6,2,Medium,72.45,64.2
168,Ifeanyi Ibrahim,English,Vocabulary,33.19,84.37,2,High,87.46,49.02
169,Yusuf Adesina,Chemistry,Physical,60.89,62.43,3,High,60.92,54.74
170,Ngozi Onyekachi,English,Vocabulary,51.67,94.28,4,High,84.36,76.8
171,David Bashir,Biology,Ecology,73.66,51.06,3,Medium,69.75,59.83
172,Maryam Ibrahim,Biology,Ecology,50.33,78.69,2,High,72.6,58.72
173,Zainab Abdul,Biology,Genetics,73.53,74.66,4,Low,71.39,66.96
174,Nnamdi Sadiq,Biology,Ecology,52.03,77.24,2,Medium,80.93,57.37
175,Amina Mohammed,English,Vocabulary,68.91,49.23,3,High,84.24,59.65
176,Nkiru Yakubu,Mathematics,Probability,58.73,83.74,1,Medium,67.96,52.39
177,Halima Musa,Physics,Mechanics,46.32,77.09,4,Medium,62.2,66.13
178,Yusuf Olatunji,English,Vocabulary,40.02,93.45,4,Medium,77.11,62.12
179,Nkiru Olatunji,English,Comprehension,58.46,73.99,3,Medium,74.62,65.94
180,Chukwuka Sadiq,English,Grammar,66.37,70.25,1,Low,71.36,52.91
181,Ngozi Onyekachi,Physics,Thermodynamics,68.69,42.35,1,Medium,61.52,52.76
182,Sola Musa,Mathematics,Probability,67.05,65.24,2,Medium,75.18,60.7
183,Chukwuka Okafor,Mathematics,Calculus,58.52,56.33,1,Low,76.96,42.61
184,Funke Adesina,Physics,Mechanics,69.9,42.46,4,Medium,85.29,59.86
185,Chiamaka Okoye,Physics,Mechanics,68.07,82.74,1,Medium,91.65,70.56
186,Abdul Ibrahim,Physics,Optics,42.91,48.81,2,Low,68.75,40.96
187,Joseph Ahmed,Biology,Ecology,71.21,57.11,1,High,76.87,55.75
188,David Onyekachi,English,Grammar,57.66,46.9,1,Medium,65.77,40.98
189,Funke Abdul,Chemistry,Physical,53.29,83.8,4,Medium,65.51,75.12
190,David Onyekachi,Physics,Optics,70.92,70.77,4,Low,66.42,61.97
191,Abdul Abdul,Chemistry,Physical,58.09,69.83,3,High,100.0,65.4
192,Ngozi Okafor,Biology,Ecology,78.79,57.45,1,Medium,74.65,67.42
193,Ngozi Balogun,English,Vocabulary,57.48,95.19,4,High,82.08,69.3
194,Chukwuka Onyekachi,Physics,Thermodynamics,72.59,82.59,3,Low,81.22,55.39
195,Emeka Ibrahim,Chemistry,Physical,56.27,64.29,2,Medium,74.26,58.41
196,Chukwuka Musa,Mathematics,Calculus,67.13,47.97,4,Low,78.8,55.4
197,Funke Mohammed,Mathematics,Calculus,71.72,84.21,3,Medium,83.34,71.08
198,Blessing Sule,Physics,Thermodynamics,64.16,43.09,3,Medium,79.3,54.61
199,Ifeanyi Ahmed,Physics,Optics,68.26,48.85,4,High,64.19,64.03
200,Ngozi Olatunji,Mathematics,Probability,64.53,78.22,1,Low,75.28,55.77
201,Amarachi Lawal,Biology,Anatomy,76.26,60.26,3,Low,75.96,54.54
202,Abdul Okafor,Chemistry,Physical,59.79,63.36,1,Medium,77.22,52.63
203,Ngozi Sule,Chemistry,Physical,80.07,54.58,4,High,73.13,63.17
204,Amarachi Danladi,Mathematics,Geometry,82.36,70.95,4,Low,85.32,57.36
205,Chukwuka Bashir,Chemistry,Physical,68.2,81.34,2,Medium,75.82,69.56
206,Joseph Yakubu,Chemistry,Physical,58.79,89.14,4,Low,97.99,63.26
207,Amina Balogun,Chemistry,Inorganic,59.65,89.8,1,Low,90.8,57.34
208,Chukwuka Bashir,Physics,Optics,59.96,63.77,4,Medium,61.56,52.76
209,Amarachi Bashir,Biology,Anatomy,52.95,56.48,2,High,74.65,56.2
210,Joseph Adebayo,Biology,Anatomy,83.61,53.02,4,High,84.84,66.65
211,Yusuf Balogun,Chemistry,Organic,64.41,78.12,4,Medium,63.77,65.24
212,Zainab Danladi,Mathematics,Calculus,67.0,75.39,3,Low,77.89,71.18
213,Yusuf Sule,Mathematics,Probability,57.35,60.04,1,Medium,68.77,49.26
214,Joseph Musa,English,Grammar,57.35,85.84,1,Medium,89.21,59.98
215,Zainab Mohammed,English,Grammar,55.01,75.07,1,High,69.48,62.11
216,Maryam Sule,English,Grammar,67.44,45.26,2,Medium,90.48,64.36
217,Ibrahim Ibrahim,Mathematics,Calculus,57.65,62.18,2,High,77.86,60.3
218,Maryam Ahmed,Physics,Mechanics,72.9,98.15,1,Low,73.23,59.81
219,Funke Lawal,English,Comprehension,48.45,57.04,1,Low,74.67,53.32
220,Amina Mohammed,Biology,Anatomy,58.79,71.36,1,Medium,74.84,62.71
221,Esther Yakubu,Chemistry,Physical,95.32,60.04,1,Medium,70.11,68.85
222,Zainab Ibrahim,Mathematics,Calculus,73.18,95.7,4,Medium,80.84,71.99
223,Chinedu Balogun,Biology,Ecology,72.09,84.63,4,Medium,83.2,73.03
224,Esther Yakubu,Mathematics,Algebra,77.8,85.54,3,Medium,88.82,75.07
225,Tunde Mohammed,Chemistry,Physical,62.99,70.2,3,Medium,87.07,58.43
226,Peace Kabiru,Chemistry,Inorganic,69.42,62.1,4,Low,75.29,63.14
227,Ifeoma Adebayo,English,Vocabulary,67.29,68.7,2,Medium,61.4,61.74
228,Chukwuka Lawal,Biology,Ecology,72.75,100.0,4,Medium,71.92,74.71
229,Nnamdi Adebayo,Chemistry,Inorganic,67.99,91.66,3,Medium,74.05,69.9
230,Funke Mohammed,Biology,Genetics,72.29,70.8,1,High,70.54,63.98
231,Tunde Adesina,Mathematics,Calculus,77.88,52.6,2,Medium,76.33,55.09
232,Daniel Bashir,English,Comprehension,79.34,45.15,1,Medium,69.41,56.14
233,Nkiru Sule,Biology,Anatomy,83.79,67.01,1,High,69.45,74.56
234,Peace Onyekachi,Chemistry,Organic,47.62,35.02,2,Low,79.4,37.19
235,Esther Lawal,Mathematics,Calculus,52.75,78.63,3,Low,77.44,52.71
236,Yusuf Abdul,Physics,Optics,49.64,81.09,1,Medium,81.5,57.45
237,Ngozi Ahmed,Mathematics,Geometry,87.16,51.95,3,Medium,59.74,56.73
238,Ngozi Olatunji,Chemistry,Organic,64.45,71.65,2,High,72.59,64.48
239,Daniel Sule,Biology,Genetics,49.98,89.66,2,Medium,74.18,66.61
240,Chinedu Abdullahi,English,Grammar,69.11,74.85,4,Medium,80.7,68.53
241,Samuel Okoye,Chemistry,Inorganic,72.71,87.94,3,Medium,76.97,72.79
242,Daniel Ibrahim,Mathematics,Algebra,63.92,89.6,2,Low,68.24,68.3
243,Peace Balogun,Mathematics,Calculus,64.52,46.54,4,Medium,76.28,52.35
244,Esther Ibrahim,Biology,Ecology,75.09,58.21,3,Low,70.54,45.62
245,Musa Adebayo,Chemistry,Inorganic,59.57,31.64,1,Low,59.16,41.54
246,Ngozi Abdul,Biology,Anatomy,74.43,74.38,3,Low,65.33,58.7
247,Abdul Ibrahim,Mathematics,Algebra,64.96,50.62,2,Medium,90.03,60.57
248,Emeka Mohammed,Chemistry,Inorganic,62.35,68.4,3,Low,77.08,45.08
249,Esther Adesina,Physics,Mechanics,62.03,57.77,4,Medium,64.98,55.28
250,Zainab Kabiru,English,Vocabulary,86.57,77.61,3,Low,69.29,67.01
251,Nkiru Balogun,Biology,Genetics,81.79,81.87,4,High,75.6,71.2
252,Nkiru Olatunji,English,Comprehension,73.38,73.9,4,Medium,83.95,70.95
253,Halima Onyekachi,Mathematics,Probability,77.59,59.97,1,High,88.17,64.98
254,Blessing Ibrahim,Biology,Anatomy,89.9,57.66,3,Low,92.36,63.61
255,Nkiru Adebayo,Physics,Optics,57.18,60.74,4,Medium,71.8,59.27
256,Abdul Onyekachi,Chemistry,Organic,71.27,59.39,3,Medium,74.76,70.62
257,Tunde Kabiru,Mathematics,Geometry,85.73,74.54,3,Medium,75.38,69.49
258,Amarachi Musa,Physics,Mechanics,72.36,52.66,1,Low,72.43,41.53
259,Emeka Okoye,English,Grammar,69.79,77.71,1,Low,70.17,64.15
260,Emeka Musa,Biology,Ecology,50.29,46.03,4,Medium,77.24,56.72
261,Chukwuka Abdul,English,Comprehension,85.21,61.12,3,Low,85.79,61.07
262,Tunde Sadiq,Biology,Anatomy,62.93,81.25,3,Medium,81.52,57.1
263,Daniel Balogun,Chemistry,Physical,82.72,88.7,1,Medium,68.74,70.22
264,David Balogun,Mathematics,Calculus,70.93,71.91,3,Low,69.5,54.42
265,Nkiru Abdullahi,English,Vocabulary,64.69,85.59,4,Medium,80.44,66.3
266,Maryam Balogun,Biology,Anatomy,74.26,25.27,2,Medium,86.49,42.13
267,Esther Kabiru,Physics,Mechanics,60.65,51.2,4,Low,62.05,54.67
268,Chukwuka Olatunji,Mathematics,Geometry,59.39,73.2,1,Low,74.53,54.84
269,David Yakubu,English,Vocabulary,65.92,48.76,2,Medium,84.96,52.68
270,Ifeanyi Onyekachi,Biology,Ecology,46.32,61.58,3,Medium,90.01,59.62
271,Amina Musa,Chemistry,Organic,60.82,62.76,3,Low,71.78,62.72
272,Ngozi Ibrahim,Chemistry,Inorganic,69.58,74.45,2,Medium,85.3,65.2
273,Daniel Sule,Physics,Optics,61.89,65.05,3,High,74.28,61.54
274,Ifeoma Sule,Biology,Genetics,73.73,68.78,1,Medium,82.33,61.2
275,Abdul Musa,Chemistry,Organic,65.94,38.03,1,Medium,84.16,52.05
276,Halima Kabiru,Chemistry,Organic,76.98,24.56,3,Medium,95.88,53.65
277,Amarachi Sule,Chemistry,Inorganic,78.3,52.4,2,Low,81.13,49.11
278,Ibrahim Mohammed,Mathematics,Calculus,57.51,96.71,1,Medium,73.09,64.82
279,Maryam Kabiru,Mathematics,Calculus,75.44,75.44,2,Medium,76.5,66.56
280,Ibrahim Okoye,Physics,Thermodynamics,93.84,67.14,2,Medium,77.01,73.1
281,Amina Adesina,Chemistry,Physical,78.27,85.81,2,High,81.39,66.72
282,Peace Onyekachi,Biology,Genetics,84.6,50.8,2,Medium,78.03,56.55
283,Chiamaka Sadiq,Physics,Optics,64.23,72.93,4,Medium,78.21,65.99
284,Ngozi Ibrahim,English,Vocabulary,84.36,74.8,4,High,72.56,77.45
285,Chibuzo Sule,English,Grammar,79.27,49.59,3,Low,80.97,58.81
286,Esther Danladi,English,Grammar,61.43,88.64,1,Low,73.5,58.17
287,Emeka Okoye,Chemistry,Inorganic,62.92,68.23,2,High,64.04,52.75
288,Tunde Lawal,Biology,Ecology,84.13,55.3,1,Medium,65.09,47.33
289,Abdul Kabiru,Chemistry,Organic,57.33,48.15,4,High,91.42,64.41
290,Funke Lawal,Mathematics,Calculus,56.74,100.0,1,High,84.82,67.62
291,Joseph Olatunji,Physics,Mechanics,35.01,100.0,1,Low,61.1,42.94
292,Chibuzo Sadiq,Physics,Thermodynamics,77.27,100.0,4,Medium,88.84,80.33
293,Chinedu Abdullahi,Mathematics,Calculus,72.14,80.8,2,High,82.59,70.68
294,Maryam Ibrahim,English,Comprehension,66.25,67.06,1,Medium,67.46,55.21
295,Zainab Onyekachi,Mathematics,Algebra,44.68,66.52,2,Medium,65.11,45.61
296,Chiamaka Ibrahim,Biology,Genetics,67.16,88.88,1,High,84.18,61.09
297,Esther Ibrahim,English,Grammar,53.12,82.11,2,Medium,65.18,57.22
298,Ngozi Adesina,Mathematics,Calculus,71.6,53.47,2,Medium,76.05,50.26
299,Blessing Sule,Mathematics,Calculus,57.78,72.8,1,High,59.07,59.74
300,Maryam Kabiru,English,Vocabulary,64.76,76.29,1,Medium,77.24,67.22
301,Esther Balogun,Biology,Ecology,66.5,61.56,3,Medium,76.22,62.07
302,Funke Abdullahi,Chemistry,Organic,65.59,68.61,1,Medium,67.98,53.64
303,Nnamdi Olatunji,Physics,Mechanics,48.17,94.24,3,Medium,62.56,58.14
304,Chibuzo Musa,Physics,Thermodynamics,56.38,81.42,4,High,72.05,72.39
305,Esther Musa,Physics,Mechanics,56.92,72.18,1,Medium,66.65,65.95
306,Amarachi Yakubu,Mathematics,Calculus,50.75,72.65,2,Low,81.34,54.29
307,Emeka Balogun,Chemistry,Inorganic,62.78,66.05,4,High,75.44,63.23
308,Maryam Sadiq,Chemistry,Organic,76.57,100.0,2,Low,69.43,59.54
309,Nkiru Balogun,Chemistry,Inorganic,63.94,100.0,1,Medium,66.96,73.92
310,Halima Ibrahim,Biology,Ecology,85.13,59.7,3,High,80.69,76.19
311,Esther Sadiq,Chemistry,Physical,60.45,64.95,3,High,69.18,55.42
312,Nnamdi Adesina,Mathematics,Probability,57.21,49.64,2,Medium,75.34,47.51
313,Samuel Adebayo,Mathematics,Calculus,67.81,44.66,3,Medium,78.31,59.16
314,Peace Adesina,Physics,Thermodynamics,41.08,73.61,4,Medium,87.28,52.45
315,Amina Danladi,English,Comprehension,85.07,74.29,3,Medium,67.95,67.22
316,Chiamaka Balogun,Mathematics,Probability,71.7,69.14,3,Medium,80.39,59.21
317,Nnamdi Sule,Physics,Mechanics,67.03,46.79,2,High,73.89,51.71
318,Ngozi Yakubu,Mathematics,Geometry,56.17,86.54,1,Low,85.91,60.25
319,Joseph Danladi,Chemistry,Inorganic,51.89,63.25,1,Medium,87.13,54.82
320,Ngozi Yakubu,Chemistry,Inorganic,92.83,73.9,4,Medium,76.92,71.01
321,Daniel Mohammed,English,Comprehension,66.6,65.71,4,Medium,82.08,67.79
322,Yusuf Lawal,Mathematics,Algebra,55.57,48.03,2,Medium,56.64,50.12
